Time (ms),X,Y,Z
85,-1852,2238,-7946
165,-2204,2421,-7535
245,-1822,1865,-7250
325,-2268,1162,-6468
405,-3039,1295,-5796
485,-3560,2604,-5448
645,-3351,4461,-4945
725,-2964,7197,-4590
805,-3013,8866,-4177
885,-3583,8363,-3771
965,-4028,7146,-3172
1045,-4184,5674,-2363
1125,-4812,4654,-2046
1205,-6197,4059,-1599
1285,-9021,3910,-400
1365,-10014,4216,176
1444,-8581,3949,393
1524,-7118,3201,1075
1604,-6172,3126,1171
1684,-6507,3176,1003
1764,-7321,2593,839
1844,-7957,1928,1053
1924,-8475,2284,956
2004,-9119,3270,476
2084,-9051,3568,559
2164,-8277,3314,828
2244,-7643,3067,1125
2324,-7595,2867,1596
2484,-7273,2654,1833
2564,-6696,2144,1550
2644,-7922,1599,702
2724,-9612,2148,16
2804,-9307,2763,-116
2884,-7764,2451,18
2964,-6575,2468,669
3044,-6490,2972,1315
3124,-6972,3189,1283
3204,-7640,2241,705
3284,-8089,1594,530
3364,-8400,1966,1003
3444,-9698,2891,1249
3524,-9860,3229,1295
3604,-8534,2976,1351
3684,-7694,3003,1496
3764,-7286,2905,1581
3844,-7035,2654,1322
3924,-6713,2051,740
4004,-7050,1624,0
4084,-8873,1588,64
4164,-9722,2245,460
4324,-8667,2697,569
4404,-7261,2583,833
4484,-6520,2777,1042
4564,-6806,2962,806
4644,-7281,2715,261
4724,-7989,2250,-258
4804,-8610,2153,-330
4884,-9591,2808,-22
4964,-9664,3121,514
5044,-8563,2883,1089
5124,-7528,2730,1323
5204,-6722,2411,1518
5284,-6653,2168,1378
5364,-6646,1866,928
5444,-7113,1769,258
5524,-9166,2142,22
5604,-10124,2819,-268
5684,-8632,2939,-548
5764,-7373,2585,-30
5844,-6982,2445,553
5924,-6920,2192,706
6004,-6976,1742,393
6164,-7249,1395,34
6244,-7847,1480,-74
6324,-9790,2468,-142
6404,-10184,2980,57
6484,-8532,2715,406
6564,-7429,2694,646
6644,-6889,2564,1014
6724,-7243,2504,1118
6804,-7297,2194,824
6884,-7058,1725,166
6964,-7979,1489,-268
7044,-9357,2088,-300
7124,-9034,2786,-324
7204,-8081,2752,-122
7284,-7398,2566,186
7363,-6882,2121,185
7443,-6719,1486,-396
7523,-6899,1284,-966
7603,-7504,1480,-985
7684,-8845,1828,-814
7763,-10256,2596,-777
7843,-9667,3099,-640
8003,-7821,2830,-261
8083,-7072,2645,223
8163,-7396,2772,740
8243,-7514,2661,956
8323,-7133,2165,544
8403,-7238,1617,-314
8483,-8900,1576,-655
8563,-9983,2334,-669
8643,-8968,2661,-590
8723,-7854,2396,-24
8803,-7258,2246,462
8883,-6817,1886,356
8963,-6791,1556,-162
9043,-7155,1470,-601
9123,-7828,1687,-797
9203,-9056,2274,-949
9283,-9987,3086,-857
9363,-9345,3243,-387
9443,-8141,2821,113
9523,-7827,2700,543
9603,-8056,2585,830
9683,-7625,2044,861
9843,-6724,1339,423
9923,-6961,968,-268
10005,-9121,1392,-249
10083,-10188,2504,-266
10163,-8910,2869,-641
10243,-7648,2672,-560
10323,-7025,2545,-325
10403,-6905,2119,-259
10483,-6892,1485,-552
10563,-7236,1079,-774
10643,-7875,1154,-673
10723,-9351,1915,-626
10803,-9740,2662,-399
10883,-8359,2729,-46
10963,-7280,2658,179
11043,-6998,2701,532
11123,-7345,2867,790
11203,-7319,2671,586
11283,-7162,2101,-132
11363,-8002,1716,-672
11443,-9555,2108,-463
11523,-9136,2488,-366
11603,-7676,2212,-98
11763,-7243,2007,641
11843,-7015,1886,696
11923,-6678,1573,201
12003,-6761,1367,-278
12083,-7713,1647,-510
12163,-9626,2486,-567
12243,-10065,3287,-499
12323,-8656,3251,-212
12403,-7580,2884,187
12483,-7651,2884,561
12563,-8350,2858,957
12643,-7933,2359,1253
12723,-6808,1503,887
12803,-6770,839,-26
12883,-8870,1042,-85
12963,-9960,2375,-146
13043,-8863,2971,-533
13123,-7677,2702,-65
13203,-6859,2739,315
13283,-6751,2526,100
13362,-7093,2059,-282
13442,-7799,1653,-512
13603,-9059,1712,-414
13682,-10262,2371,-173
13762,-9533,2653,137
13842,-7887,2460,597
13922,-7316,2481,906
14002,-7254,2457,1093
14082,-7063,2224,1171
14162,-6889,1859,943
14242,-7311,1680,205
14322,-9156,1997,-284
14402,-10230,2726,-667
14482,-9143,2930,-692
14562,-7995,2529,-63
14642,-7204,1984,230
14722,-6861,1405,95
14802,-6940,1058,-353
14882,-7002,1221,-682
14962,-7552,1707,-724
15042,-9090,2412,-718
15122,-10037,3278,-860
15202,-9155,3341,-790
15282,-7651,2772,-339
15362,-7325,2465,161
15522,-7737,2449,677
15602,-7433,2331,926
15682,-6865,1883,445
15762,-7027,1520,-446
15842,-8486,1675,-827
15922,-9798,2312,-741
16002,-8890,2659,-794
16082,-7570,2574,-435
16162,-7339,2577,194
16242,-7163,2416,206
16322,-6961,1991,-182
16402,-6952,1588,-602
16482,-7367,1494,-823
16562,-8158,1800,-602
16642,-9551,2574,-473
16722,-9543,3004,-345
16802,-8122,2684,13
16882,-7801,2432,343
16962,-7984,2357,762
17042,-7532,2254,948
17122,-6689,2112,634
17202,-6680,2088,-50
17362,-7846,2316,-616
17442,-9560,2722,-523
17522,-9308,2953,-633
17602,-7697,2711,-574
17682,-7244,2496,299
17762,-7119,2370,716
17842,-6855,1910,432
17922,-6835,1507,-212
18002,-7508,1541,-616
18082,-8710,1899,-574
18162,-9979,2757,-503
18242,-9777,3175,-299
18322,-8334,2755,52
18402,-7849,2525,446
18482,-8024,2588,921
18562,-7653,2404,1142
18642,-6839,1849,665
18722,-6776,1453,-198
18802,-7865,1576,-634
18882,-9671,2197,-224
18962,-9497,2922,-211
19042,-7828,3029,-521
19202,-7450,2943,17
19281,-7300,2937,396
19361,-7093,2379,163
19441,-7082,1692,-244
19521,-7462,1337,-477
19602,-8338,1479,-296
19681,-9883,2536,-91
19761,-9989,3140,72
19841,-8338,2661,379
19921,-7270,2310,659
20001,-7207,2360,1046
20081,-7332,2392,1277
20161,-6878,1928,992
20241,-6948,1507,253
20321,-8389,1558,-373
20401,-10359,2351,-529
20481,-9459,2806,-627
20561,-7451,2403,-203
20641,-7069,2224,703
20721,-6892,2106,981
20801,-6766,1624,351
20961,-6972,1084,-532
