Time (ms),X,Y,Z
85,18,2846,-7646
165,42,2866,-7788
245,-262,2807,-7735
325,-413,2258,-7736
405,-551,1593,-7864
485,-761,1300,-7608
565,-1218,933,-7224
645,-1823,1197,-7054
725,-2559,1158,-6308
805,-3943,1644,-4714
885,-5485,3953,-3057
965,-6178,5295,-1891
1045,-6194,6083,-929
1125,-6023,7159,-464
1205,-6165,7499,-964
1285,-6854,7042,-1291
1365,-8115,6163,-1076
1445,-9454,4814,-481
1525,-10104,3502,317
1605,-9656,2762,1006
1685,-8482,1760,1412
1765,-7072,806,1457
1924,-5979,685,1221
2004,-5999,833,728
2084,-6888,1185,216
2165,-8489,1818,122
2244,-10662,3010,-238
2324,-11052,3847,-320
2404,-9295,3683,315
2484,-7289,3111,697
2564,-6114,2366,927
2644,-7044,1993,1111
2724,-9595,1649,1359
2804,-10273,1531,1312
2884,-8864,1578,1017
2964,-6857,1498,718
3044,-5205,1742,484
3124,-6355,2146,451
3204,-9078,2804,189
3284,-10706,3530,-215
3364,-11038,3740,32
3444,-9733,3078,650
3524,-7519,2283,1042
3604,-6845,1621,1455
3684,-7744,886,1878
3764,-9162,689,2229
3844,-9652,1168,2060
3924,-8771,1665,1289
4004,-7292,2042,597
4164,-7124,2525,180
4244,-8428,3015,-304
4324,-10190,3534,-727
4404,-11711,4126,-455
4484,-11703,4018,671
4564,-10188,3122,1640
4644,-8329,2209,1982
4724,-7940,1587,2038
4804,-8724,913,2082
4884,-9115,667,2204
4964,-9468,1304,1929
5044,-8958,1993,1237
5124,-8199,2613,760
5204,-8725,3295,273
5284,-9577,4416,-329
5364,-10563,5084,-355
5444,-11595,4610,529
5524,-11222,3449,1608
5604,-9460,2336,2129
5684,-8647,1655,2431
5764,-8396,893,2487
5844,-8185,598,2248
5924,-9060,973,1872
6004,-9528,1608,1142
6084,-8645,2349,332
6164,-8694,2762,-165
6324,-9664,3151,-935
6404,-10792,4297,-1329
6484,-11625,4559,-505
6564,-10749,3545,674
6644,-8966,2671,1309
6724,-7939,1828,1571
6804,-8031,1187,1744
6884,-9244,590,1748
6964,-9853,525,1673
7044,-9556,1160,1467
7124,-8854,1858,996
7204,-8117,2986,255
7284,-8311,3580,-423
7364,-8752,3379,-706
7444,-9597,3670,-667
7524,-10897,3840,26
7604,-10606,3176,1092
7684,-8763,2354,1726
7764,-7886,1757,2055
7844,-8220,1078,2320
7923,-8940,530,2426
8003,-9207,556,2100
8083,-8973,1064,1462
8163,-8505,1907,763
8243,-8885,2915,104
8323,-9797,3581,-861
8483,-10666,4421,-1610
8563,-11925,5112,-1157
8643,-12281,4555,190
8723,-11158,3407,1416
8803,-9635,2342,1979
8883,-8643,1470,2268
8963,-8377,671,2197
9043,-8748,349,1968
9123,-9767,831,1878
9203,-9977,1781,1640
9283,-9417,2941,1196
9363,-9507,3671,460
9443,-9753,4531,-328
9523,-10269,5325,-781
9603,-11432,4979,-147
9683,-11360,3895,1131
9763,-9840,2757,1880
9843,-9234,1911,2324
9923,-8926,1081,2591
10005,-8270,515,2604
10083,-8288,515,2328
10163,-8963,1173,1662
10243,-9312,2384,728
10323,-9782,3291,-254
10403,-10197,3739,-1293
10483,-10912,4794,-1794
10643,-12210,5226,-987
10723,-12013,4138,414
10803,-10384,2956,1367
10883,-9129,2046,1879
10963,-8552,1281,2264
11043,-8651,634,2255
11123,-9166,298,1798
11203,-9893,661,1338
11283,-9856,1736,859
11363,-9472,2963,413
11443,-9728,3783,-178
11523,-9686,4618,-788
11603,-10366,5725,-1303
11683,-11973,5566,-740
11763,-12030,4092,555
11843,-10546,2806,1219
11923,-9555,1831,1726
12003,-8734,950,2047
12083,-8257,249,2154
12163,-8983,195,1956
12243,-10354,1117,1437
12323,-10558,3050,717
12403,-10013,4088,-2
12483,-10032,4009,-936
12563,-11014,5244,-1747
12643,-12437,5717,-1101
12803,-12486,4444,447
12883,-11219,3321,1442
12963,-9928,2225,1915
13043,-9138,1210,2152
13123,-8813,447,2126
13203,-8900,185,1909
13283,-9991,754,1637
13363,-10389,1891,1365
13443,-9669,2976,778
13522,-9487,3362,-205
13602,-9471,4234,-1022
13682,-9950,5110,-1062
13762,-11215,4784,-5
13842,-11429,3838,1206
13922,-10521,2705,1796
14002,-10158,1810,2191
14082,-9561,940,2375
14162,-8626,305,2264
14242,-8497,255,2127
14322,-9000,1026,2021
14402,-9876,2572,1706
14482,-11027,3994,894
14562,-10864,4750,-561
14642,-10318,5393,-1564
14722,-11754,5300,-665
14802,-12526,4147,974
14962,-11323,2943,1919
15042,-10498,1998,2641
15122,-9506,1139,2978
15202,-8224,525,2716
15282,-8352,793,1792
15362,-8984,1712,831
15442,-8767,2798,392
15522,-9417,3766,-402
15602,-10488,4584,-1456
15682,-10595,5282,-1862
15762,-10731,5197,-1138
15842,-10213,4099,113
15922,-8810,2870,876
16002,-8370,2023,1326
16082,-8822,1210,1733
16162,-9297,745,1666
16242,-9450,1050,995
16322,-8369,1431,289
16402,-6670,1566,71
16482,-6859,1876,302
16562,-9159,2661,239
16642,-11111,4419,-653
16722,-11526,5316,-1103
16802,-10447,4377,-443
16882,-8586,3230,344
17042,-7556,2328,933
17122,-8126,1659,1472
17202,-9596,1100,1792
17282,-9881,1061,1446
17362,-8758,1231,645
17442,-7047,1276,237
17522,-6369,1673,277
17602,-7829,2447,39
17682,-9423,3303,-293
17762,-10235,4232,-517
17842,-10443,4503,-195
17922,-9379,3511,553
18002,-7721,2407,954
18082,-7674,1756,1388
18162,-8591,1111,1779
18242,-9036,845,1559
18322,-9115,1182,877
18402,-7854,1415,294
18482,-6114,1652,-4
18562,-6916,2053,-66
18642,-9074,2701,-291
18722,-10303,3712,-832
18802,-10551,4073,-820
18882,-9267,3241,-89
19042,-7395,2264,526
19122,-7172,1681,975
19202,-8306,1196,1560
19282,-9475,1012,1867
19362,-9696,1379,1276
19441,-8330,1507,506
19521,-6387,1414,214
19601,-6386,1703,317
19682,-8426,2470,178
19761,-10274,3519,-493
19841,-11127,4333,-730
19921,-10568,4217,-63
20001,-8873,3223,692
20081,-7759,2316,1155
20161,-8221,1594,1670
20241,-9256,1027,2064
20321,-9449,1138,1700
20401,-8693,1438,823
20481,-7128,1560,294
20561,-6382,1907,176
20641,-8023,2565,-93
20721,-10513,3614,-816
20801,-11751,4462,-1060
20881,-11039,4243,-209
20961,-9144,3227,675
21121,-7748,2250,1207
21201,-7610,1537,1617
21281,-8237,1052,1629
21361,-8845,1022,1344
21441,-9316,1486,853
21521,-8443,1856,291
21601,-6832,2114,-22
21681,-7088,2550,-356
21761,-8421,3240,-982
21841,-9546,3921,-1291
21921,-10549,4127,-692
22001,-10034,3395,321
22081,-8206,2353,939
22161,-7498,1697,1228
22241,-7980,905,1550
22321,-8939,561,1905
22401,-9617,1049,1670
22481,-9053,1498,808
22561,-7381,1759,194
22641,-7071,2265,9
22721,-8600,2979,-401
22801,-10398,3748,-994
22881,-11364,4243,-801
22961,-10628,3790,65
23041,-8739,2726,700
23201,-7431,1887,1133
23281,-7795,1249,1600
23361,-8980,764,1818
23441,-9397,939,1466
23521,-8891,1413,722
23601,-7357,1540,273
23681,-6488,1702,217
23761,-7970,2162,-14
23841,-10335,2735,-524
23921,-11429,3301,-736
24001,-10504,3249,-237
24081,-8579,2635,440
24161,-7015,2025,832
24241,-7626,1356,1212
24321,-9474,787,1457
24401,-9704,924,1102
24481,-8735,1389,365
24561,-7122,1538,-107
24641,-5883,1684,-80
24721,-6962,2042,-204
24801,-9429,2773,-501
24881,-11007,3754,-452
24961,-10547,3913,-28
25041,-8505,2996,435
25201,-6622,2116,711
25281,-7145,1569,1130
25361,-8959,1041,1521
25440,-9404,1042,1226
25520,-8698,1393,653
25600,-7216,1463,385
25680,-5799,1658,269
25760,-6607,1945,138
25841,-8836,2446,-332
25920,-10252,3448,-988
26000,-10622,4103,-850
26080,-9564,3589,34
26160,-7646,2649,677
26240,-7075,1938,1165
26320,-7945,1366,1769
26400,-9341,1083,2169
26480,-9821,1173,1690
26560,-8969,1274,613
26640,-7231,1416,-94
26720,-6250,1695,-185
26800,-7330,2209,-364
26880,-9378,2842,-431
26960,-11068,3590,-300
27040,-11643,3819,274
27200,-10271,2953,1105
27280,-8111,2096,1322
27360,-7505,1440,1620
27440,-7770,810,2057
27520,-8593,1080,1945
27600,-9746,1820,1031
27680,-8823,2029,41
27760,-6787,2203,-301
27840,-6948,2694,-435
27920,-8782,3427,-916
28000,-10389,4452,-1431
28080,-11249,4759,-1048
28160,-10463,3792,44
28240,-8534,2667,759
28320,-7643,1886,1263
28400,-7988,1257,1788
28480,-9028,758,1734
28560,-9769,671,1129
28640,-9491,989,573
28720,-8038,1402,374
28800,-7309,2073,349
28880,-8276,3018,-208
28960,-9265,3817,-691
29040,-10298,4506,-719
29200,-11061,4468,-144
29280,-10247,3400,842
29360,-8672,2424,1404
29440,-8399,1832,1803
29520,-8818,1112,2049
29600,-8826,777,2001
29680,-8897,1124,1526
29760,-8350,1423,725
29840,-7267,1886,223
29920,-7983,2615,-148
30000,-9589,3339,-842
30080,-10586,4436,-1576
30160,-11290,4820,-987
30240,-10576,3863,431
30320,-8800,2845,1170
30400,-8237,2080,1702
30480,-8794,1203,2147
30560,-8849,666,1928
30640,-8593,808,1313
30720,-8456,1275,591
30800,-7683,1792,83
30880,-7844,2315,-51
30960,-9260,2960,-532
31040,-10527,3935,-1132
31200,-11493,4527,-814
31280,-11132,3940,196
31359,-9538,2915,847
31439,-8487,2061,1295
31519,-8381,1330,1701
31599,-8639,708,1736
31679,-9127,811,1685
31759,-9550,1379,1592
31840,-8791,1738,730
31919,-7933,2178,-168
31999,-8601,2836,-364
32079,-9100,3630,-525
32159,-9794,4342,-634
32239,-10972,4144,67
32319,-10607,3001,1051
32399,-9131,1939,1391
32479,-7998,1120,1507
32559,-7615,448,1646
32639,-8402,202,1924
32719,-10177,1044,2054
32799,-10459,2086,1440
32879,-8643,2477,539
32959,-7361,2822,-43
33039,-7976,3179,-383
33199,-9501,3388,-508
33279,-10647,3691,-369
33359,-11019,3704,233
33439,-9981,2959,1060
33519,-8377,2184,1617
33599,-7997,1592,2116
33679,-8452,992,2571
33759,-8749,857,2629
33839,-9118,1255,1999
33919,-8684,1621,749
33999,-7440,2278,-219
34079,-7654,2857,-584
34159,-8958,2957,-883
34239,-10163,3302,-903
34319,-11229,3950,-213
34399,-10830,3816,870
34479,-9106,2874,1520
34559,-8064,1914,1797
34639,-8192,1048,2038
34719,-8953,431,1859
34799,-9546,519,1503
34879,-9550,1209,1115
34959,-8322,1966,695
35119,-7501,2541,730
35199,-8459,2946,644
35279,-9845,3826,-148
35359,-10885,4587,-765
35439,-11045,4352,-259
35519,-10171,3534,711
35599,-9115,2555,1369
35679,-9041,1646,1847
35759,-9169,855,2052
35839,-8759,452,1883
35919,-8738,768,1446
35999,-8387,1393,849
36079,-7643,2214,383
36159,-8167,2819,12
36239,-9206,3323,-690
36319,-9937,4420,-1291
36399,-10791,4838,-709
36479,-10599,3966,510
36559,-9238,2910,1301
36639,-8415,1974,1875
36719,-8202,1119,2364
36799,-8701,566,2378
36879,-9454,693,2035
37039,-9421,1273,1312
37119,-8535,1893,608
37199,-8344,2703,493
37279,-9092,3260,106
37358,-9662,3836,-408
37438,-10680,4908,-425
37518,-11572,4639,266
37598,-10588,3181,1178
37678,-8618,2228,1706
37758,-7810,1553,2106
37838,-8091,914,2190
37918,-8846,565,2144
37998,-9641,888,1695
38078,-9082,1381,829
38158,-7796,2029,297
38238,-8161,2878,-113
38318,-9322,3350,-698
38398,-10188,4203,-1158
38478,-11258,4882,-724
38558,-11253,4166,469
38638,-9876,3106,1324
38718,-8901,2167,1826
38878,-8557,1209,2119
38958,-8883,557,2128
39038,-9479,681,2004
39118,-9638,1327,1494
39198,-8790,1918,837
39278,-8249,2621,676
39358,-8988,3308,294
39438,-9426,3987,-423
39518,-9630,4636,-748
39598,-10314,4606,-225
39678,-10113,3695,898
39758,-8746,2707,1652
39838,-8562,1981,2141
39918,-8937,1139,2309
39998,-8762,593,1994
40078,-8782,722,1293
40158,-7981,1073,565
40238,-6898,1706,447
40318,-7973,2633,307
40398,-9884,3809,-476
40478,-10407,4937,-1285
40558,-10575,4960,-886
40638,-9918,3869,299
40798,-8399,2814,1108
40878,-8306,2040,1699
40958,-9074,1107,2060
41038,-9141,569,2007
41118,-8814,796,1589
41198,-8209,1321,822
41278,-7253,1958,217
41358,-7848,2597,63
41438,-9253,3288,-692
41518,-10292,4686,-1497
41598,-11307,5167,-882
41678,-10695,4085,361
41758,-8890,3008,1094
41838,-8176,2036,1753
41918,-8253,1276,2273
41998,-8742,750,2311
42078,-9456,736,1876
42158,-9550,1285,1076
42238,-8484,1976,506
42318,-7978,2631,240
42398,-8690,3278,-438
42478,-10150,3964,-1046
42638,-11530,4301,-749
42718,-11585,3869,141
42798,-10483,2950,830
42878,-9013,2069,1330
42958,-8199,1206,1803
43038,-7777,420,1648
43118,-8417,249,1524
43198,-10082,1092,1329
43277,-9996,2014,718
43357,-8316,2512,314
43437,-8131,3009,32
43517,-9086,3753,-613
43597,-10385,4502,-1127
43677,-11427,4389,-556
43757,-10837,3491,581
43837,-9178,2578,1291
43917,-8302,1785,1716
43997,-8312,1013,2068
44077,-8752,594,2010
44157,-9265,731,1429
44237,-9008,1214,543
44317,-7779,1815,112
44477,-7795,2513,287
44557,-9442,3326,53
44637,-10782,3918,-825
44717,-11372,4040,-1192
44797,-10820,3688,-509
44877,-9033,2951,304
44957,-7551,2164,906
45037,-8320,1523,1477
45117,-9601,917,1888
45197,-9208,814,1568
45277,-8393,1116,607
45357,-7406,1359,91
45437,-7032,1899,115
45517,-8266,2570,-19
45597,-9866,3386,-440
45677,-10894,4382,-611
45757,-10904,4410,-25
45837,-9508,3425,760
45917,-7901,2512,1290
45997,-8116,1737,1741
46077,-9079,991,2054
46237,-9230,831,1987
46317,-8873,1141,1187
46397,-7648,1302,336
46477,-6991,1804,221
46557,-7982,2508,261
46637,-9452,3358,-250
46717,-10351,4454,-821
46797,-10762,4512,-388
46877,-10048,3447,549
46957,-8323,2403,1097
47037,-7895,1575,1429
47117,-8301,830,1729
47197,-8943,628,1784
47277,-9781,1046,1246
47357,-9002,1506,696
47437,-7161,1959,516
47517,-7276,2461,399
47597,-8619,3395,-373
47677,-10117,4659,-1314
47757,-11558,5069,-1129
47837,-11358,4159,-53
47917,-9532,2778,833
48077,-8356,1801,1468
48157,-8132,1183,1850
48237,-8660,656,1900
48317,-9435,624,1582
48397,-9720,1190,742
48477,-8666,1718,197
48557,-7525,2375,62
48637,-7967,2962,-300
48717,-8967,3347,-708
48797,-9928,3894,-770
48877,-10411,3952,-150
48957,-9552,3143,762
49037,-7887,2244,1265
49117,-7726,1518,1550
49197,-8453,753,1948
49276,-8912,643,2074
49356,-9279,1156,1441
