Time (ms),X,Y,Z
85,153,603,-8323
165,118,688,-8302
245,145,771,-8216
325,199,801,-8261
405,217,781,-8307
485,174,695,-8278
583,153,689,-8315
645,101,626,-8435
725,17,384,-8448
805,-13,237,-8386
885,108,210,-8221
965,276,-160,-8152
1045,116,-547,-8351
1125,-189,-258,-8281
1204,155,628,-7907
1284,981,1776,-7434
1364,1572,2636,-7042
1444,1984,2935,-6783
1524,2432,3458,-6449
1604,2522,4069,-6148
1684,1437,4354,-6622
1764,-897,4744,-8372
1915,-2369,4216,-9606
1930,-2083,3159,-8627
2004,-1616,3162,-7087
2084,-1279,3120,-6727
2164,-431,3109,-6158
2244,495,3659,-4979
2324,261,4121,-4839
2404,-1309,3669,-6208
2484,-3527,3425,-7939
2635,-5073,3601,-8337
2650,-5248,3308,-7122
2724,-4663,2530,-5676
2804,-4177,1792,-4361
2884,-4744,2430,-3116
2964,-7349,2676,-2894
3115,-10766,-26,-5071
3130,-11088,-2764,-6982
3204,-6900,-1360,-6166
3284,-3675,567,-4325
3364,-3434,578,-2843
3444,-3621,506,-2613
3524,-4400,917,-2728
3604,-6138,1151,-3089
3684,-8673,1926,-4120
3834,-10308,2962,-4737
3850,-9901,2882,-4248
3924,-8362,2588,-3336
4004,-6986,2340,-2689
4084,-5995,2276,-2396
4164,-5379,2442,-2320
4244,-4981,2673,-2378
4324,-6434,3097,-2627
4404,-9153,3320,-3127
4554,-9575,2998,-3198
4569,-8159,2753,-2898
4644,-6900,2776,-2861
4724,-6544,2718,-2835
4804,-6736,2572,-2780
4884,-6672,2384,-2703
4964,-6122,2202,-2616
5044,-5985,2152,-2448
5124,-7731,2598,-2258
5274,-9801,3241,-2024
5289,-9707,3524,-1830
5364,-8254,3281,-1586
5444,-7218,2817,-1190
5524,-7238,2669,-1066
5604,-7632,2745,-1349
5684,-7509,2712,-1686
5764,-6887,2586,-1962
5844,-6188,2501,-2168
5924,-5597,2590,-2316
6004,-7559,2853,-2273
6154,-10010,3335,-2578
6169,-9958,2868,-2669
6244,-8363,2154,-2447
6324,-6603,2163,-2309
6404,-6354,2116,-1912
6484,-6605,2060,-1769
6564,-6466,1974,-1890
6644,-6162,1994,-2058
6724,-6883,2131,-2290
6804,-8858,2657,-1937
6954,-9617,3303,-1285
6969,-8597,3587,-1127
7044,-7660,3421,-967
7124,-7154,3104,-867
7203,-6893,2999,-1043
7283,-6540,2848,-1287
7363,-6521,2478,-1375
7443,-7418,2400,-1775
7524,-8655,2876,-2576
7674,-9079,2705,-2873
7689,-8396,1891,-2456
7763,-7224,1477,-2091
7843,-6644,1258,-1964
7923,-6757,1250,-2075
8003,-6605,1409,-2324
8083,-6244,1739,-2516
8163,-5930,2107,-2811
8243,-7987,2654,-3239
8395,-10902,3156,-3276
8411,-11083,3075,-2439
8483,-9698,3028,-1409
8563,-8293,3126,-954
8643,-7415,3419,-1194
8723,-6869,4410,-2280
8803,-5402,5427,-3187
8883,-4266,5936,-3551
8963,-4060,5071,-3746
9043,-5365,4446,-3991
9123,-7117,4974,-5497
9284,-5632,5743,-5585
9363,-4800,4589,-3218
9443,-4839,3034,-1994
9525,-4720,2343,-2832
9603,-5066,2457,-4461
9683,-5270,3414,-5665
9766,-5886,5458,-5833
9843,-6404,8016,-5425
9923,-6005,8765,-5234
10003,-4786,6527,-4855
10083,-3577,4074,-4474
10163,-3876,3434,-3672
10243,-4066,3076,-2419
10323,-3335,2850,-2535
10403,-4147,3717,-4510
10483,-5935,4523,-6977
10566,-7298,4395,-7649
10643,-7464,3593,-6314
10723,-6277,2757,-5026
10803,-5544,2394,-4178
10883,-5340,2335,-3568
10963,-5355,2222,-3370
11043,-5098,2383,-3567
11123,-6882,3551,-4163
11206,-9532,4633,-4271
11283,-9735,4174,-3578
11363,-8737,3122,-2930
11443,-7639,2196,-3106
11523,-6803,1875,-3778
11603,-6123,2179,-3997
11683,-5430,2995,-3809
11763,-4919,3879,-3627
11843,-5346,4240,-3730
11923,-6246,3827,-4854
12006,-7409,2722,-6411
12083,-7678,1882,-6566
12163,-6471,1046,-5647
12243,-5464,614,-4578
12323,-4679,762,-4020
12403,-4696,1181,-4178
12483,-5089,1838,-3944
12563,-6092,2605,-4143
12643,-8012,4004,-5209
12726,-8454,5425,-5219
12803,-7533,6105,-4285
12883,-6318,6064,-3618
12963,-5359,6249,-3487
13043,-4895,6882,-3657
13122,-4183,6862,-3770
13202,-3022,6306,-3882
13282,-1978,6225,-4114
13362,-1473,6752,-4597
13443,-1434,6707,-5224
13526,-1126,5789,-5483
13602,-445,5293,-5236
13682,215,5642,-5335
13762,890,5908,-6012
13846,1341,5169,-6405
13922,1432,4218,-6230
14002,1782,3954,-6020
14082,3499,4591,-6263
14166,5248,5810,-6608
14242,5824,6122,-6572
14322,5709,5013,-5599
14402,5689,3650,-3565
14482,5483,2895,-2933
14562,4141,2944,-4636
14642,2823,3480,-6113
14722,2755,3840,-5743
14802,3338,4026,-4435
14882,3704,4701,-3057
14962,4063,5844,-2124
15194,1494,9346,-3259
15278,-349,9949,-3157
15294,-1294,9590,-2324
15362,-1821,9046,-2055
15442,-2177,8801,-1742
15522,-2241,8124,-1750
15602,-2219,7364,-1958
15682,-2192,7103,-2175
15762,-1992,7264,-2430
15842,-1668,7569,-2574
15922,-1406,7686,-2624
16002,-1147,7561,-2690
16082,-932,7272,-2678
16162,-866,6984,-2511
16242,-1015,6986,-2313
16322,-1280,8045,-1965
16405,-1319,9607,-1691
16482,-944,9985,-1495
16562,-300,9162,-969
16642,393,8258,-356
16722,759,8033,-62
16802,657,8192,-130
16882,660,8301,-460
16965,799,8206,-656
17042,1060,8785,-339
17122,1181,9252,-259
17202,888,8794,-452
17282,478,8633,-619
17362,159,8395,-859
17442,87,8191,-868
17522,-126,8437,-847
17602,-627,8457,-1008
17682,-1091,8279,-1202
17762,-1350,8272,-1267
17842,-1462,8278,-1315
17922,-1506,8136,-1328
18002,-1569,8069,-1258
18082,-1693,8141,-1225
18162,-1793,8098,-1287
18242,-1814,8043,-1290
18322,-1790,8146,-1214
18402,-1727,8134,-1196
18482,-1587,8111,-1188
18562,-1419,8314,-1107
18642,-1367,8349,-941
18722,-1427,8169,-838
18802,-1456,8127,-867
18882,-1409,8305,-940
18962,-1311,8422,-957
19042,-1350,8382,-948
19121,-1369,8253,-969
19202,-1206,8209,-869
19281,-1054,8258,-753
19361,-974,8263,-742
19441,-1014,8291,-754
19521,-1194,8313,-725
19601,-1313,8280,-755
19681,-1283,8230,-871
19761,-1132,8225,-899
19841,-1019,8281,-870
19921,-1044,8334,-916
20001,-1080,8298,-997
20081,-1080,8324,-899
20161,-1037,8379,-742
20241,-1086,8320,-754
20321,-1134,8249,-802
20401,-1063,8259,-807
20481,-1004,8263,-827
20561,-1062,8300,-870
20642,-1251,8368,-1027
20721,-1391,8314,-1143
20801,-1328,8255,-1069
20881,-1222,8304,-975
20961,-1206,8387,-1025
21041,-1207,8383,-1210
21121,-1148,8356,-1391
21201,-1120,8462,-1594
21281,-1133,8546,-1894
21361,-1114,8603,-2179
21441,-866,8552,-2329
21521,-443,8127,-2262
21601,-75,7587,-2180
21681,88,7250,-2347
21761,20,7195,-2689
21841,-89,7400,-2891
21921,-165,7624,-2883
22001,-158,7694,-2939
22081,-155,7957,-3119
22165,17,8404,-3135
22241,439,8604,-3065
22321,1455,9142,-3733
22401,2826,10212,-4659
